Date,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds)
02/08/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2085.0
02/09/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2008.0
02/09/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2169.0
02/09/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1908.0
02/10/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2045.0
02/10/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2206.0
02/10/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1708.0
02/11/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2150.0
02/11/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1705.0
02/11/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1723.0
02/12/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2263.0
02/12/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1732.0
02/12/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2312.0
02/13/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1813.0
02/13/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1905.0
02/13/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2443.0
02/14/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1712.0
02/14/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1944.0
02/14/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2440.0
02/15/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2000.0
02/15/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2009.0
02/15/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2505.0
02/16/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2217.0
02/16/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2136.0
02/16/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2223.0
02/17/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2050.0
02/17/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2065.0
02/17/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1738.0
02/18/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2156.0
02/18/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1775.0
02/18/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1752.0
02/19/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2063.0
02/19/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1705.0
02/19/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2173.0
02/20/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1659.0
02/20/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1949.0
02/20/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1908.0
02/21/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1667.0
02/21/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2029.0
02/21/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1910.0
02/22/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1784.0
02/22/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2086.0
02/22/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1994.0
02/23/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1917.0
02/23/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2355.0
02/23/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2090.0
02/24/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1834.0
02/24/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2457.0
02/24/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1676.0
02/25/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2003.0
02/25/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1759.0
02/25/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1735.0
02/26/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2005.0
02/26/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1715.0
02/26/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1934.0
02/27/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1583.0
02/27/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2261.0
02/27/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2116.0
